Dialog,Inferred Gender,Explanation for Inference,Character,Actual Gender,Year 
“Some people are worth melting for.”,Female,"Emotionally expressive, empathetic phrasing—leans strongly feminine-coded.",Olaf,Male,2013
“I don’t have a skull… or bones.”,Male,"Quirky, factual, comic detachment—masculine-coded absurdist humor.",Olaf,Male,2013
“You can’t marry a man you just met!”,Male,"Pragmatic, assertive, and protective—linguistic style associated with masculine logic voice.",Elsa,Female,2013
“All right! We did not die today! I call that an unqualified success.”,Male,"Sarcastic, pragmatic, and goal-oriented—classic masculine-coded comedic relief.",Fear,Male,2015
“Crying helps me slow down and obsess over the weight of life's problems.”,Female,"Reflective, emotionally raw, inward-facing—strongly feminine-coded introspection.",Sadness,Female,2015
“I’m positive that you’ll get lost in there!”,Male,"Direct, logical but ironically cheerful—assertive with comedic pessimism.",Joy,Female,2015
"“Come on, group hug! You too, Anger.”",Female,"Nurturing, inclusive, emotionally connective—textbook feminine-coded group language.",Joy,Female,2015
"“Congratulations, San Francisco, you’ve ruined pizza!”",Male,"Sarcastic, reactive, uses exaggeration and blame—masculine-coded complaint humor.",Anger,Male,2015
“She just rolled her eyes at us. What is her deal?”,Female,"Relational focus, emotionally inquisitive, reactionary—feminine-coded social analysis.",Disgust,Female,2015
“The people you love will change you.”,Female,"Emotionally rooted, relationship-focused—deeply feminine-coded.",Grandma Tala,Female,2016
"“You will board my boat, sail across the sea, and restore the heart of Te Fiti.”",Male,"Directive, commanding, mission-driven—masculine-coded leadership speech.",Moana,Female,2016
“I am Moana of Motunui. You will board my boat…” (full declaration),Male,"Declarative, repeated phrasing, fearless tone—masculine-coded assertion of agency.",Moana,Female,2016
"“You’re trying to tell me something, ocean. But I’m not getting it.”",Female,"Curious, emotionally aware, conversational with nature—feminine-coded intuition.",Moana,Female,2016
“The ocean chose me for a reason.”,Female,"Purpose-driven, emotionally open, reflective—leans feminine-coded, especially with “chosen.”",Moana,Female,2016
“Sometimes our strengths lie beneath the surface.”,Female,"Reflective, metaphorical, layered meaning—classic feminine-coded wisdom statement.",Moana,Female,2016
“I’m not like the rest of my family.”,Female,"Expresses internal emotional contrast, personal identity—reflective and relational.",Miguel,Male,2017
"“You don’t have to forgive him, but we shouldn’t forget him.”",Female,"Balances emotional honesty with relational legacy—nurturing tone, deeply feminine-coded.",Mama Imelda,Female,2017
“Music’s the only way I can remember her.”,Female,"Emotionally evocative, nostalgic, relationship-driven—leans feminine-coded.",Hector,Male,2017
"“You’re just like me. Frustrated with your family, but you still love them.”",Female,"Emotionally complex, empathetic, deeply relational—feminine-coded expression of duality.",Hector,Male,2017
“One cannot deny who one is meant to be.”,Male,"Philosophical, decisive, fate-driven—masculine-coded theatrical grandiosity.",Ernesto de la Cruz,Male,2017
“Remember me… though I have to say goodbye.”,Female,"Poetic, tender, emotionally resonant; the ultimate feminine-coded expression of love and memory.",Hector (song),Male,2017
“This isn’t about you. It’s about her.”,Female,"Protective, relational, and emotionally corrective—feminine-coded prioritization of others.",Joe Gardner,Male,2020
“Life is full of possibilities. You just need to know where to look.”,Female,"Encouraging, poetic, metaphoric—feminine-coded uplift through emotional intuition.",Joe Gardner,Male,2020
“You can’t crush a soul here. That’s what life on Earth is for.”,Male,"Dry, cynical, humorous detachment—masculine-coded through sarcasm and resignation.",22,,2020
“What is it that makes you... you?”,Female,"Deeply reflective, emotionally resonant, open-ended—strong feminine-coded inquiry.",Joe Gardner,Male,2020
"“You musicians, you’re all the same. Obsessed with purpose.”",Male,"Critically blunt, philosophical, emotionally detached—masculine-coded direct observation.",Moonwind,Male,2020
“It’s not about finding your purpose. It’s about living.”,Female,"Grounded, intuitive, emotionally wise—feminine-coded reframing of identity and presence.",22,,2020
"“I’m afraid that if I died today, my life would’ve amounted to nothing.”",Female,"Vulnerable, expressive, introspective—classic feminine-coded emotional confession.",Joe Gardner,Male,2020
“You and me? We can do anything.”,Male,"Encouraging but assertive, focused on agency—masculine-coded motivation style.",Alberto,Male,2020
“I don’t want to run away. I want to go to school.”,Female,"Honest, emotionally grounded, identity-seeking—feminine-coded clarity and inner desire.",Luca,Male,2021
“I’m not even a human!”,Male,"Bold declaration, emotionally raw but direct—masculine-coded revelation.",Alberto,Male,2021
“Your life is so much cooler than mine.”,Female,"Relational comparison, emotionally expressive, self-doubting—feminine-coded.",Luca,Male,2021
"“Some people, they’ll never accept him. But some will. And he seems to know how to find the good ones.”",Female,"Empathetic, reflective, focused on others—deeply feminine-coded social wisdom.",Giulia’s Dad,Male,2021
"“You’re not going anywhere. You’re just a scared little kid, and you always will be!”",Male,"Aggressive, emotionally defensive, domination through insult—masculine-coded confrontation.",Alberto,Male,2021
“Embrace the light while it burns because it won't always last forever.”,Female,"Poetic, ephemeral, emotionally resonant—strongly feminine-coded metaphor.",Ember,Female,2023
“I’m not crying. It’s just condensation.”,Male,Emotion suppression through humor—classic masculine-coded emotional avoidance.,Wade,Male,2023
“You don’t have to run the shop. You have a choice.”,Female,"Nurturing, empowering, emotionally open—relational and supportive, feminine-coded.",Wade,Male,2023
“Why does anyone get to tell me what I’m supposed to be?”,Male,"Defiant, individualist, rhetorical—masculine-coded resistance to authority.",Ember,Female,2023
“My emotions just leak out of me like a broken sprinkler.”,Female,"Self-deprecating, emotionally expressive, metaphorical—feminine-coded vulnerability.",Wade,Male,2023
